[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor@2fdc3daa] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RedirectAttributesMethodArgumentResolver@dcdb203] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.ModelMethodProcessor@43b2ff7d] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.MapMethodProcessor@5387bb5c] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.ErrorsMethodArgumentResolver@31b3b536] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.SessionStatusMethodArgumentResolver@510e54a9] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.UriComponentsBuilderMethodArgumentResolver@51300e2] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,330][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestParamMethodArgumentResolver@641eab47] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,331][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestParamMethodArgumentResolver@16d2ab97] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,331][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestParamMapMethodArgumentResolver@7474d888] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,331][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.PathVariableMethodArgumentResolver@4a7de3a0] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.PathVariableMapMethodArgumentResolver@6d88eb2d] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.MatrixVariableMethodArgumentResolver@484d65df] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.MatrixVariableMapMethodArgumentResolver@763d02a9] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletModelAttributeMethodProcessor@55fdf22c] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor@7a9c4bc9] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestPartMethodArgumentResolver@3008622d] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestHeaderMethodArgumentResolver@28d2a5e6] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestHeaderMapMethodArgumentResolver@76a019ec] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletCookieValueMethodArgumentResolver@4be07f4b] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.ExpressionValueMethodArgumentResolver@34a9f9b4] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.SessionAttributeMethodArgumentResolver@7c7bc24d] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestAttributeMethodArgumentResolver@329505b8] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletRequestMethodArgumentResolver@238e6381] supports [interface javax.servlet.http.HttpServletRequest]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod]Invoking [MyQuestionnaireController.createquestionnaire] method with arguments [我是你爸爸, org.apache.catalina.connector.RequestFacade@1b076745]
[DEBUG][2018-04-30 21:58:01,332][org.springframework.transaction.support.TransactionSynchronizationManager]Initializing transaction synchronization
[DEBUG][2018-04-30 21:58:01,333][org.springframework.transaction.interceptor.TransactionInterceptor]Getting transaction for [com.imut.serviceImpl.MyQuestionnaireServiceImpl.createquestionnaire]
[DEBUG][2018-04-30 21:58:01,333][org.springframework.transaction.support.TransactionSynchronizationManager]Bound value [org.mybatis.spring.SqlSessionHolder@7997b336] for key [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory@76193dfa] to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,333][org.springframework.jdbc.datasource.DataSourceUtils]Fetching JDBC Connection from DataSource
[DEBUG][2018-04-30 21:58:01,333][org.springframework.jdbc.datasource.DataSourceUtils]Registering transaction synchronization for JDBC Connection
[DEBUG][2018-04-30 21:58:01,333][org.springframework.transaction.support.TransactionSynchronizationManager]Bound value [org.springframework.jdbc.datasource.ConnectionHolder@747a7b55] for key [org.apache.commons.dbcp.BasicDataSource@158cc691] to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,333][org.springframework.transaction.support.TransactionSynchronizationManager]Retrieved value [org.springframework.jdbc.datasource.ConnectionHolder@747a7b55] for key [org.apache.commons.dbcp.BasicDataSource@158cc691] bound to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,345][org.springframework.transaction.support.TransactionSynchronizationManager]Retrieved value [org.mybatis.spring.SqlSessionHolder@7997b336] for key [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory@76193dfa] bound to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,345][org.springframework.transaction.support.TransactionSynchronizationManager]Retrieved value [org.mybatis.spring.SqlSessionHolder@7997b336] for key [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory@76193dfa] bound to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,345][org.springframework.transaction.interceptor.TransactionInterceptor]Completing transaction for [com.imut.serviceImpl.MyQuestionnaireServiceImpl.createquestionnaire]
[DEBUG][2018-04-30 21:58:01,345][org.springframework.jdbc.datasource.DataSourceTransactionManager]Triggering beforeCommit synchronization
[DEBUG][2018-04-30 21:58:01,346][org.springframework.jdbc.datasource.DataSourceTransactionManager]Triggering beforeCompletion synchronization
[DEBUG][2018-04-30 21:58:01,346][org.springframework.jdbc.datasource.DataSourceTransactionManager]Triggering afterCommit synchronization
[DEBUG][2018-04-30 21:58:01,346][org.springframework.jdbc.datasource.DataSourceTransactionManager]Triggering afterCompletion synchronization
[DEBUG][2018-04-30 21:58:01,346][org.springframework.transaction.support.TransactionSynchronizationManager]Removed value [org.mybatis.spring.SqlSessionHolder@7997b336] for key [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory@76193dfa] from thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,346][org.springframework.transaction.support.TransactionSynchronizationManager]Retrieved value [org.springframework.jdbc.datasource.ConnectionHolder@747a7b55] for key [org.apache.commons.dbcp.BasicDataSource@158cc691] bound to thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,346][org.springframework.transaction.support.TransactionSynchronizationManager]Removed value [org.springframework.jdbc.datasource.ConnectionHolder@747a7b55] for key [org.apache.commons.dbcp.BasicDataSource@158cc691] from thread [http-bio-8080-exec-7]
[DEBUG][2018-04-30 21:58:01,346][org.springframework.jdbc.datasource.DataSourceUtils]Returning JDBC Connection to DataSource
[DEBUG][2018-04-30 21:58:01,346][org.springframework.transaction.support.TransactionSynchronizationManager]Clearing transaction synchronization
[DEBUG][2018-04-30 21:58:01,346][org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod]Method [createquestionnaire] returned [ModelAndView: reference to view with name 'editquestionnaire'; model is {qqq=Questionnaire [qid=46, qname=我是你爸爸, quid=2, qstartdate=null, qenddate=null, status=null, sum=null, release=null, questions=null, info=null]}]
[DEBUG][2018-04-30 21:58:01,349][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'editquestionnaire'
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.view.InternalResourceViewResolver]Cached view [editquestionnaire]
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.DispatcherServlet]Rendering view [org.springframework.web.servlet.view.JstlView: name 'editquestionnaire'; URL [/editquestionnaire.jsp]] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.view.JstlView]Rendering view with name 'editquestionnaire' with model {qqq=Questionnaire [qid=46, qname=我是你爸爸, quid=2, qstartdate=null, qenddate=null, status=null, sum=null, release=null, questions=null, info=null], org.springframework.validation.BindingResult.qqq=org.springframework.validation.BeanPropertyBindingResult: 0 errors} and static attributes {}
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.view.JstlView]Added model object 'qqq' of type [com.imut.model.Questionnaire] to request in view with name 'editquestionnaire'
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.view.JstlView]Added model object 'org.springframework.validation.BindingResult.qqq' of type [org.springframework.validation.BeanPropertyBindingResult] to request in view with name 'editquestionnaire'
[DEBUG][2018-04-30 21:58:01,349][org.springframework.web.servlet.view.JstlView]Forwarding to resource [/editquestionnaire.jsp] in InternalResourceView 'editquestionnaire'
[DEBUG][2018-04-30 21:58:01,776][org.springframework.web.servlet.DispatcherServlet]Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1b076745
[DEBUG][2018-04-30 21:58:01,776][org.springframework.web.servlet.DispatcherServlet]Successfully completed request
[DEBUG][2018-04-30 21:58:01,776][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in WebApplicationContext for namespace 'springmvc-servlet': ServletRequestHandledEvent: url=[/create]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[448ms]; status=[OK]
[DEBUG][2018-04-30 21:58:01,776][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in Root WebApplicationContext: ServletRequestHandledEvent: url=[/create]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[448ms]; status=[OK]
[DEBUG][2018-04-30 21:59:28,669][org.springframework.web.servlet.DispatcherServlet]Bound request context to thread: org.apache.catalina.connector.RequestFacade@1b076745
[DEBUG][2018-04-30 21:59:28,669][org.springframework.web.servlet.DispatcherServlet]DispatcherServlet with name 'springmvc' processing POST request for [/updatequestionnaire]
[DEBUG][2018-04-30 21:59:28,669][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping@5b5e2a19] in DispatcherServlet with name 'springmvc'
